createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2019-12-10,3414308253,鹅猴综艺狸,2,7332650446,那些年，被抖音玩坏的蒙面唱将,774139
2019-07-18,2937448420,日向大叔,0,7100020045,嘘~ 温柔些，让这世界静下来,172287
2019-06-26,467578052,咸鱼大饼干,2,7061506657,深夜泪崩 · 晚睡者的不眠心事,263297
2017-08-10,3050342203,秋名山神车手,2,1769768376,悲伤藏在无言的纯音里,659019
2018-02-07,945187827,念安娜,2,3714513020,民谣抒情丨给你37.2℃的甜蜜,1666332
2020-01-03,55894433,QQ音乐VIP,6,7366760962,为什么失眠？还不是因为你啊,486285
2020-01-03,3239619075,歌单狂魔,2,7367175648,醉国风原创征集决赛歌曲汇总,600213
2019-06-14,2035819190,民谣和狗，我选你,0,7044075892,融化在民谣中的诗词,81637
2019-06-17,2313894720,古风迷人酱,0,7049157736,古风 | 静水流深，沧笙踏歌,379990
2019-06-27,2822129197,栖时,2,7062646830,童年印象：记忆中的日漫片曲,526060
2019-06-19,467638189,蜜糖男孩,2,7051781002,落日余晖 · 悦享舒适民谣,188129
2019-07-18,2160865471,Akivn,2,7098527756,日系女嗓 • 藏在耳里的甜蜜,233308
2019-06-21,2313894720,古风迷人酱,0,7055471904,古风 | 卿之意，皆为我心,242216
2020-01-02,2303204713,蓝莓 Cake,0,7365352274,民谣男声：唱给你心中的那个女孩,745403
2020-01-02,3414308253,鹅猴综艺狸,2,7362718916,2020跨年晚会丨四大卫视听到底！,1341898
2019-07-19,348361207,风少,2,4130694362,另类意境 • 释放纷乱思绪,107936
